Speed[r/min],Torque[Nm],Voltage (Amplitude)[V],
0,1302.48756218905,18.2897296969968,
0,1319.40298507463,18.5280856632286,
0,1336.3184079602,18.7642773680315,
0,1353.23383084577,18.9970469441584,
0,1370.14925373134,19.2253192827319,
0,1387.06467661692,19.448019274875,
0,1403.98009950249,19.6640718117103,
0,1420.89552238806,19.8724017843609,
0,1437.81094527363,20.0719340839494,
0,1454.7263681592,20.2615936015988,
0,1471.64179104478,20.4403052284318,
0,1488.55721393035,20.6017369657401,
0,1505.47263681592,20.7314344548154,
0,1522.38805970149,20.8350718054717,
0,1539.30348258706,20.91981158482,
0,1556.21890547264,20.9928163599717,
0,1573.13432835821,21.0612486980378,
0,1590.04975124378,21.1322711661296,
0,1606.96517412935,21.2130463313583,
0,1623.88059701493,21.3107367608349,
0,1640.7960199005,21.4325050216707,
0,1657.71144278607,21.5734549469381,
0,1674.62686567164,21.7206464431814,
0,1691.54228855721,21.8717531586494,
0,1708.45771144279,22.0244661225366,
0,1725.37313432836,22.1764763640378,
0,1742.28855721393,22.3254749123475,
0,1759.2039800995,22.4691527966603,
0,1776.11940298507,22.605201046171,
0,1793.03482587065,22.7313106900741,
0,1809.95024875622,22.8451037317999,
0,1826.86567164179,22.9439285238737,
0,1843.78109452736,23.0286905582409,
0,1860.69651741294,23.1012549488411,
0,1877.61194029851,23.1634868096138,
0,1894.52736318408,23.2172512544987,
0,1911.44278606965,23.2644133974355,
0,1928.35820895522,23.3068383523637,
0,1945.2736318408,23.346391233223,
0,1962.18905472637,23.3849371539529,
0,1979.10447761194,23.4258697829196,
0,1996.01990049751,23.4774906566243,
0,2012.93532338308,23.5401978007344,
0,2029.85074626866,23.6133081981807,
0,2046.76616915423,23.6961388318941,
0,2063.6815920398,23.7880066848053,
0,2080.59701492537,23.8882287398452,
0,2097.51243781094,23.9961219799448,
0,2114.42786069652,24.1110033880349,
0,2131.34328358209,24.2321899470462,
0,2148.25870646766,24.3592925416135,
0,2165.17412935323,24.4927259338783,
0,2182.08955223881,24.6328408145196,
0,2199.00497512438,24.7799825232223,
0,2215.92039800995,24.934496399671,
0,2232.83582089552,25.0967277835505,
0,2249.75124378109,25.2670220145454,
0,2266.66666666667,25.4457244323406,
0,2283.58208955224,25.6331803766206,
0,2300.49751243781,25.8296632274745,
0,2317.41293532338,26.0311488356376,
0,2334.32835820895,26.234994900934,
0,2351.24378109453,26.4409701928456,
0,2368.1592039801,26.6488434808543,
0,2385.07462686567,26.8583835344421,
0,2401.99004975124,27.0693591230908,
0,2418.90547263682,27.2815390162823,
0,2435.82089552239,27.4946919834986,
0,2452.73631840796,27.7085867942214,
0,2469.65174129353,27.9230363675471,
0,2486.5671641791,28.1382646979947,
0,2503.48258706468,28.3544319423092,
0,2520.39800995025,28.5716452633037,
0,2537.31343283582,28.7900118237917,
0,2554.22885572139,29.0096387865864,
0,2571.14427860697,29.2306333145012,
0,2588.05970149254,29.4531025703492,
0,2604.97512437811,29.677153716944,
0,2621.89054726368,29.9028939170986,
0,2638.80597014925,30.1300982609266,
0,2655.72139303483,30.3577901483174,
0,2672.6368159204,30.5855682629061,
0,2689.55223880597,30.8130678462686,
0,2706.46766169154,31.0399241399808,
0,2723.38308457711,31.2657723856184,
0,2740.29850746269,31.4902478247573,
0,2757.21393034826,31.7129856989735,
0,2774.12935323383,31.9336212498427,
0,2791.0447761194,32.1517884751487,
0,2807.96019900498,32.3661458056755,
0,2824.87562189055,32.5761689867873,
0,2841.79104477612,32.7825048919831,
0,2858.70646766169,32.9858003947621,
0,2875.62189054726,33.1867023686231,
0,2892.53731343284,33.3858576870653,
0,2909.45273631841,33.5839132235878,
0,2926.36815920398,33.7815158516896,
0,2943.28358208955,33.9793124448697,
0,2960.19900497512,34.1783111032213,
