Speed[r/min],Torque[Nm],Flux (d-Axis)[Vs],
21.8905472636816,1454.7263681592,0.257993902828598,
21.8905472636816,1471.64179104478,0.248787831686112,
21.8905472636816,1488.55721393035,0.239622003972845,
21.8905472636816,1505.47263681592,0.230493723620608,
21.8905472636816,1522.38805970149,0.221393743309553,
21.8905472636816,1539.30348258706,0.212312896886159,
21.8905472636816,1556.21890547264,0.203242018196909,
21.8905472636816,1573.13432835821,0.194171941088285,
21.8905472636816,1590.04975124378,0.185093499406768,
21.8905472636816,1606.96517412935,0.175997526998839,
21.8905472636816,1623.88059701493,0.166874857710981,
21.8905472636816,1640.7960199005,0.157716325389674,
21.8905472636816,1657.71144278607,0.148511004903377,
21.8905472636816,1674.62686567164,0.139258889882299,
21.8905472636816,1691.54228855721,0.129968290471864,
21.8905472636816,1708.45771144279,0.120647524114649,
21.8905472636816,1725.37313432836,0.111304908253229,
21.8905472636816,1742.28855721393,0.101948760330179,
21.8905472636816,1759.2039800995,0.0925873977880761,
21.8905472636816,1776.11940298507,0.0832291380694951,
21.8905472636816,1793.03482587065,0.0738822986170117,
21.8905472636816,1809.95024875622,0.0645555074844243,
21.8905472636816,1826.86567164179,0.0552607437160225,
21.8905472636816,1843.78109452736,0.0459991662766734,
21.8905472636816,1860.69651741294,0.0367683558434008,
21.8905472636816,1877.61194029851,0.0275658930932291,
21.8905472636816,1894.52736318408,0.0183893587031823,
21.8905472636816,1911.44278606965,0.00923633335028439,
21.8905472636816,1928.35820895522,0.000104397711559528,
21.8905472636816,1945.2736318408,-0.009008867535968,
21.8905472636816,1962.18905472637,-0.0181058817152742,
21.8905472636816,1979.10447761194,-0.0271897117506958,
21.8905472636816,1996.01990049751,-0.036264316030939,
21.8905472636816,2012.93532338308,-0.0453286366203473,
21.8905472636816,2029.85074626866,-0.0543810593404267,
21.8905472636816,2046.76616915423,-0.0634199700126831,
21.8905472636816,2063.6815920398,-0.0724437544586228,
21.8905472636816,2080.59701492537,-0.0814507984997522,
21.8905472636816,2097.51243781094,-0.0904394879575771,
21.8905472636816,2114.42786069652,-0.0994082086536039,
21.8905472636816,2131.34328358209,-0.108355346409339,
21.8905472636816,2148.25870646766,-0.117296649187403,
21.8905472636816,2165.17412935323,-0.126257271509366,
21.8905472636816,2182.08955223881,-0.135230112804666,
21.8905472636816,2199.00497512438,-0.144207503897663,
21.8905472636816,2215.92039800995,-0.153181775612715,
21.8905472636816,2232.83582089552,-0.16214525877418,
21.8905472636816,2249.75124378109,-0.171090284206417,
21.8905472636816,2266.66666666667,-0.180009182733785,
21.8905472636816,2283.58208955224,-0.188894285180642,
21.8905472636816,2300.49751243781,-0.197738682122314,
21.8905472636816,2317.41293532338,-0.20657987436171,
21.8905472636816,2334.32835820895,-0.215437868139001,
21.8905472636816,2351.24378109453,-0.224306677635109,
21.8905472636816,2368.1592039801,-0.233180317030953,
21.8905472636816,2385.07462686567,-0.242052800507455,
21.8905472636816,2401.99004975124,-0.250918142245536,
21.8905472636816,2418.90547263682,-0.259770356426116,
21.8905472636816,2435.82089552239,-0.268603457230115,
21.8905472636816,2452.73631840796,-0.277411458838455,
21.8905472636816,2469.65174129353,-0.286188307284623,
21.8905472636816,2486.5671641791,-0.294931441260259,
21.8905472636816,2503.48258706468,-0.303645566809666,
21.8905472636816,2520.39800995025,-0.31233609093127,
21.8905472636816,2537.31343283582,-0.321008420623498,
21.8905472636816,2554.22885572139,-0.329667962884775,
21.8905472636816,2571.14427860697,-0.338320124713527,
21.8905472636816,2588.05970149254,-0.34697031310818,
