Speed[r/min],Torque[Nm],Current (Id)[A],
21.8905472636816,1809.95024875622,-141.824880564576,
21.8905472636816,1826.86567164179,-143.223614270045,
21.8905472636816,1843.78109452736,-144.619274225623,
21.8905472636816,1860.69651741294,-146.012626642734,
21.8905472636816,1877.61194029851,-147.40445848118,
21.8905472636816,1894.52736318408,-148.795577573302,
21.8905472636816,1911.44278606965,-150.186812702829,
21.8905472636816,1928.35820895522,-151.579013633713,
21.8905472636816,1945.2736318408,-152.973051084307,
21.8905472636816,1962.18905472637,-154.36981664219,
21.8905472636816,1979.10447761194,-155.769898674641,
21.8905472636816,1996.01990049751,-157.172188497876,
21.8905472636816,2012.93532338308,-158.576308546293,
21.8905472636816,2029.85074626866,-159.982051170223,
21.8905472636816,2046.76616915423,-161.389205178147,
21.8905472636816,2063.6815920398,-162.797555845749,
21.8905472636816,2080.59701492537,-164.20688492069,
21.8905472636816,2097.51243781094,-165.616970622919,
21.8905472636816,2114.42786069652,-167.027587640357,
21.8905472636816,2131.34328358209,-168.438507119773,
21.8905472636816,2148.25870646766,-169.851449214182,
21.8905472636816,2165.17412935323,-171.269340933982,
21.8905472636816,2182.08955223881,-172.691584495481,
21.8905472636816,2199.00497512438,-174.117504221199,
21.8905472636816,2215.92039800995,-175.54640964732,
21.8905472636816,2232.83582089552,-176.977595667023,
21.8905472636816,2249.75124378109,-178.410342619094,
21.8905472636816,2266.66666666667,-179.843916319102,
21.8905472636816,2283.58208955224,-181.277568030343,
21.8905472636816,2300.49751243781,-182.710593667555,
21.8905472636816,2317.41293532338,-184.145773508008,
21.8905472636816,2334.32835820895,-185.584609314058,
21.8905472636816,2351.24378109453,-187.026582545328,
21.8905472636816,2368.1592039801,-188.471164891466,
21.8905472636816,2385.07462686567,-189.917818313107,
21.8905472636816,2401.99004975124,-191.365995058989,
21.8905472636816,2418.90547263682,-192.815137658008,
21.8905472636816,2435.82089552239,-194.264678884975,
21.8905472636816,2452.73631840796,-195.714041698838,
21.8905472636816,2469.65174129353,-197.162667092008,
21.8905472636816,2486.5671641791,-198.610605946865,
21.8905472636816,2503.48258706468,-200.058494905896,
21.8905472636816,2520.39800995025,-201.507003261858,
21.8905472636816,2537.31343283582,-202.956813199147,
21.8905472636816,2554.22885572139,-204.408619848817,
21.8905472636816,2571.14427860697,-205.863131312947,
21.8905472636816,2588.05970149254,-207.321068656405,
21.8905472636816,2604.97512437811,-208.783165864029,
21.8905472636816,2621.89054726368,-210.25016976126,
21.8905472636816,2638.80597014925,-211.723000271831,
21.8905472636816,2655.72139303483,-213.202250785925,
21.8905472636816,2672.6368159204,-214.687559376179,
21.8905472636816,2689.55223880597,-216.178522351341,
21.8905472636816,2706.46766169154,-217.674727903492,
21.8905472636816,2723.38308457711,-219.175756210071,
21.8905472636816,2740.29850746269,-220.68117951938,
21.8905472636816,2757.21393034826,-222.190562218759,
21.8905472636816,2774.12935323383,-223.7034608846,
21.8905472636816,2791.0447761194,-225.21941517955,
21.8905472636816,2807.96019900498,-226.729952749628,
21.8905472636816,2824.87562189055,-228.229468108393,
21.8905472636816,2841.79104477612,-229.720255973043,
21.8905472636816,2858.70646766169,-231.204650526403,
21.8905472636816,2875.62189054726,-232.685027486182,
21.8905472636816,2892.53731343284,-234.163805764099,
21.8905472636816,2909.45273631841,-235.643448692264,
21.8905472636816,2926.36815920398,-237.126464794477,
21.8905472636816,2943.28358208955,-238.61540808016,
21.8905472636816,2960.19900497512,-240.112772636902,
21.8905472636816,2977.1144278607,-241.619138851077,
21.8905472636816,2994.02985074627,-243.134640638072,
21.8905472636816,3010.94527363184,-244.659681783576,
21.8905472636816,3027.86069651741,-246.194670518826,
21.8905472636816,3044.77611940298,-247.740019357551,
21.8905472636816,3061.69154228856,-249.296144920637,
21.8905472636816,3078.60696517413,-250.863467748084,
