Speed[r/min],Torque[Nm],Power Factor,
21.8905472636816,16.9154228855721,0.182308488462267,
21.8905472636816,33.8308457711443,0.34921406761824,
21.8905472636816,50.7462686567164,0.499619103707647,
21.8905472636816,67.6616915422886,0.632425962970217,
21.8905472636816,84.5771144278607,0.74653701164568,
21.8905472636816,101.492537313433,0.840854615973764,
21.8905472636816,118.407960199005,0.914281142194199,
21.8905472636816,135.323383084577,0.965718956546714,
21.8905472636816,152.238805970149,0.994070425271037,
21.8905472636816,169.154228855721,0.999336343555472,
21.8905472636816,186.069651741294,0.998475906688473,
21.8905472636816,202.985074626866,0.997604132305833,
21.8905472636816,219.900497512438,0.996719549168722,
21.8905472636816,236.81592039801,0.995820686038309,
21.8905472636816,253.731343283582,0.994906071675763,
21.8905472636816,270.646766169154,0.993974234842255,
21.8905472636816,287.562189054726,0.993023704298953,
21.8905472636816,304.477611940298,0.992053008807028,
21.8905472636816,321.393034825871,0.991060677127648,
21.8905472636816,338.308457711443,0.990052306346928,
21.8905472636816,355.223880597015,0.989060362141488,
21.8905472636816,372.139303482587,0.988096042097342,
21.8905472636816,389.054726368159,0.987167458086748,
21.8905472636816,405.970149253731,0.986282721981961,
21.8905472636816,422.885572139303,0.985449945655237,
21.8905472636816,439.800995024876,0.984677240978832,
21.8905472636816,456.716417910448,0.983972719825001,
21.8905472636816,473.63184079602,0.983344494066001,
21.8905472636816,490.547263681592,0.982800675574087,
21.8905472636816,507.462686567164,0.982336629941929,
21.8905472636816,524.378109452736,0.981929023023281,
21.8905472636816,541.293532338308,0.981565466204213,
21.8905472636816,558.208955223881,0.98123373003274,
21.8905472636816,575.124378109453,0.98092158505688,
21.8905472636816,592.039800995025,0.98061680182465,
21.8905472636816,608.955223880597,0.980307150884068,
21.8905472636816,625.870646766169,0.97998040278315,
21.8905472636816,642.786069651741,0.979624328069913,
21.8905472636816,659.701492537313,0.979226247213223,
21.8905472636816,676.616915422886,0.978763291812045,
21.8905472636816,693.532338308458,0.978239427425476,
21.8905472636816,710.44776119403,0.977670537028357,
21.8905472636816,727.363184079602,0.977072503595528,
21.8905472636816,744.278606965174,0.976461210101829,
21.8905472636816,761.194029850746,0.9758525395221,
21.8905472636816,778.109452736318,0.975262374831182,
21.8905472636816,795.02487562189,0.974706599003915,
21.8905472636816,811.940298507463,0.974201095015141,
21.8905472636816,828.855721393035,0.973762599062754,
21.8905472636816,845.771144278607,0.973403237491183,
21.8905472636816,862.686567164179,0.973115589029341,
21.8905472636816,879.601990049751,0.972890091030993,
21.8905472636816,896.517412935323,0.972717180849904,
21.8905472636816,913.432835820895,0.972587295839836,
21.8905472636816,930.348258706468,0.972490873354555,
21.8905472636816,947.26368159204,0.972418350747823,
21.8905472636816,964.179104477612,0.972360165373406,
21.8905472636816,981.094527363184,0.972306754585068,
21.8905472636816,998.009950248756,0.972245822568,
21.8905472636816,1014.92537313433,0.972167295623073,
21.8905472636816,1031.8407960199,0.972071926579386,
21.8905472636816,1048.75621890547,0.971960782685757,
21.8905472636816,1065.67164179104,0.971834931191001,
21.8905472636816,1082.58706467662,0.971695439343934,
21.8905472636816,1099.50248756219,0.971543374393373,
21.8905472636816,1116.41791044776,0.971379803588133,
21.8905472636816,1133.33333333333,0.971205794177032,
21.8905472636816,1150.24875621891,0.971022414616893,
21.8905472636816,1167.16417910448,0.970831488754621,
21.8905472636816,1184.07960199005,0.970636502687252,
21.8905472636816,1200.99502487562,0.970441118087828,
21.8905472636816,1217.91044776119,0.970248996629396,
21.8905472636816,1234.82587064677,0.970063799985,
21.8905472636816,1251.74129353234,0.969889189827685,
21.8905472636816,1268.65671641791,0.969728827830495,
21.8905472636816,1285.57213930348,0.969586375666477,
21.8905472636816,1302.48756218905,0.969465495008674,
21.8905472636816,1319.40298507463,0.969369914053422,
21.8905472636816,1336.3184079602,0.969300907838458,
21.8905472636816,1353.23383084577,0.969253055858336,
21.8905472636816,1370.14925373134,0.969220083185499,
21.8905472636816,1387.06467661692,0.969195714892391,
21.8905472636816,1403.98009950249,0.969173676051455,
21.8905472636816,1420.89552238806,0.969147691735134,
21.8905472636816,1437.81094527363,0.969111487015872,
21.8905472636816,1454.7263681592,0.969058786966113,
21.8905472636816,1471.64179104478,0.968983316658299,
21.8905472636816,1488.55721393035,0.968878848222879,
21.8905472636816,1505.47263681592,0.968744566238029,
21.8905472636816,1522.38805970149,0.968585476439831,
21.8905472636816,1539.30348258706,0.968406787441407,
21.8905472636816,1556.21890547264,0.96821370785588,
21.8905472636816,1573.13432835821,0.968011446296371,
21.8905472636816,1590.04975124378,0.967805211376005,
21.8905472636816,1606.96517412935,0.967600211707904,
21.8905472636816,1623.88059701493,0.96740165590519,
21.8905472636816,1640.7960199005,0.967214752580985,
21.8905472636816,1657.71144278607,0.96704690072785,
21.8905472636816,1674.62686567164,0.966900569733016,
21.8905472636816,1691.54228855721,0.966772723996966,
21.8905472636816,1708.45771144279,0.966660322246417,
21.8905472636816,1725.37313432836,0.966560323208086,
21.8905472636816,1742.28855721393,0.96646968560869,
21.8905472636816,1759.2039800995,0.966385368174946,
21.8905472636816,1776.11940298507,0.96630432963357,
21.8905472636816,1793.03482587065,0.96622352871128,
21.8905472636816,1809.95024875622,0.966139820159425,
21.8905472636816,1826.86567164179,0.966049138909216,
21.8905472636816,1843.78109452736,0.965951535933098,
21.8905472636816,1860.69651741294,0.965848330500437,
21.8905472636816,1877.61194029851,0.965740841880594,
21.8905472636816,1894.52736318408,0.965630389342934,
21.8905472636816,1911.44278606965,0.96551829215682,
21.8905472636816,1928.35820895522,0.965405869591615,
21.8905472636816,1945.2736318408,0.965294440916685,
21.8905472636816,1962.18905472637,0.965185325401391,
21.8905472636816,1979.10447761194,0.96507955496321,
21.8905472636816,1996.01990049751,0.964976061827006,
21.8905472636816,2012.93532338308,0.964873611281635,
21.8905472636816,2029.85074626866,0.964771074493766,
21.8905472636816,2046.76616915423,0.964667322630063,
21.8905472636816,2063.6815920398,0.964561226857193,
21.8905472636816,2080.59701492537,0.964451658341823,
21.8905472636816,2097.51243781094,0.964337488250618,
21.8905472636816,2114.42786069652,0.964217587750246,
21.8905472636816,2131.34328358209,0.964090828007372,
21.8905472636816,2148.25870646766,0.963957176568917,
21.8905472636816,2165.17412935323,0.963819045807055,
21.8905472636816,2182.08955223881,0.963678194923204,
21.8905472636816,2199.00497512438,0.963536359484173,
21.8905472636816,2215.92039800995,0.963395275056771,
21.8905472636816,2232.83582089552,0.963256677207804,
21.8905472636816,2249.75124378109,0.963122301504082,
21.8905472636816,2266.66666666667,0.962993883512413,
21.8905472636816,2283.58208955224,0.962873158799604,
21.8905472636816,2300.49751243781,0.962761865091197,
21.8905472636816,2317.41293532338,0.962661006451393,
21.8905472636816,2334.32835820895,0.962568943919804,
21.8905472636816,2351.24378109453,0.962483486245887,
21.8905472636816,2368.1592039801,0.962402442179098,
21.8905472636816,2385.07462686567,0.962323620468892,
21.8905472636816,2401.99004975124,0.962244829864726,
21.8905472636816,2418.90547263682,0.962163879116056,
21.8905472636816,2435.82089552239,0.962078576972338,
21.8905472636816,2452.73631840796,0.961986732183029,
21.8905472636816,2469.65174129353,0.961886089258563,
21.8905472636816,2486.5671641791,0.961775311934126,
21.8905472636816,2503.48258706468,0.961655792437943,
21.8905472636816,2520.39800995025,0.961529227737656,
21.8905472636816,2537.31343283582,0.961397314800911,
21.8905472636816,2554.22885572139,0.961261750595352,
21.8905472636816,2571.14427860697,0.961124232088624,
21.8905472636816,2588.05970149254,0.960986456248369,
21.8905472636816,2604.97512437811,0.960850120042234,
21.8905472636816,2621.89054726368,0.960716920437862,
21.8905472636816,2638.80597014925,0.960589051025297,
21.8905472636816,2655.72139303483,0.960468163455715,
21.8905472636816,2672.6368159204,0.960353442631463,
21.8905472636816,2689.55223880597,0.960243980830795,
21.8905472636816,2706.46766169154,0.960138870331966,
21.8905472636816,2723.38308457711,0.96003720341323,
21.8905472636816,2740.29850746269,0.95993807235284,
21.8905472636816,2757.21393034826,0.959840569429051,
21.8905472636816,2774.12935323383,0.959743786920117,
21.8905472636816,2791.0447761194,0.959646816403242,
21.8905472636816,2807.96019900498,0.959548283976526,
21.8905472636816,2824.87562189055,0.959447592043766,
21.8905472636816,2841.79104477612,0.959344876802696,
21.8905472636816,2858.70646766169,0.959240274451053,
21.8905472636816,2875.62189054726,0.959133921186573,
21.8905472636816,2892.53731343284,0.959025953206989,
21.8905472636816,2909.45273631841,0.95891650671004,
21.8905472636816,2926.36815920398,0.958805717893459,
21.8905472636816,2943.28358208955,0.958693722954983,
21.8905472636816,2960.19900497512,0.958580599531996,
21.8905472636816,2977.1144278607,0.958465601762489,
21.8905472636816,2994.02985074627,0.958348290701961,
21.8905472636816,3010.94527363184,0.95822844192255,
21.8905472636816,3027.86069651741,0.958105830996391,
21.8905472636816,3044.77611940298,0.957980233495621,
21.8905472636816,3061.69154228856,0.957851424992377,
21.8905472636816,3078.60696517413,0.957719181058795,
21.8905472636816,3095.5223880597,0.957583277267011,
21.8905472636816,3112.43781094527,0.957443489189163,
21.8905472636816,3129.35323383085,0.957742786839819,
21.8905472636816,3146.26865671642,0.959928121866772,
21.8905472636816,3163.18407960199,0.96368529886716,
21.8905472636816,3180.09950248756,0.96853074383202,
21.8905472636816,3197.01492537313,0.973980882752389,
21.8905472636816,3213.93034825871,0.979552141619305,
21.8905472636816,3230.84577114428,0.984760946423804,
21.8905472636816,3247.76119402985,0.989123723156924,
21.8905472636816,3264.67661691542,0.973784104084615,
21.8905472636816,3281.59203980099,0.973784104084615,
43.7810945273632,0,0,
43.7810945273632,16.9154228855721,0.182875028552298,
43.7810945273632,33.8308457711443,0.350215700432724,
43.7810945273632,50.7462686567164,0.500922118349168,
43.7810945273632,67.6616915422886,0.633894385009516,
43.7810945273632,84.5771144278607,0.748032603121657,
43.7810945273632,101.492537313433,0.842236875393478,
43.7810945273632,118.407960199005,0.915407304532866,
43.7810945273632,135.323383084577,0.966443993247709,
43.7810945273632,152.238805970149,0.994247044245895,
43.7810945273632,169.154228855721,0.998820914141566,
43.7810945273632,186.069651741294,0.997218524385321,
43.7810945273632,202.985074626866,0.995586916244744,
43.7810945273632,219.900497512438,0.993923233919846,
43.7810945273632,236.81592039801,0.992224621610638,
43.7810945273632,253.731343283582,0.990488223517134,
43.7810945273632,270.646766169154,0.988711183839344,
43.7810945273632,287.562189054726,0.98689064677728,
43.7810945273632,304.477611940298,0.985023756530954,
43.7810945273632,321.393034825871,0.983107657300377,
43.7810945273632,338.308457711443,0.981152474879713,
43.7810945273632,355.223880597015,0.97921964683969,
43.7810945273632,372.139303482587,0.9773341071189,
43.7810945273632,389.054726368159,0.975515251381075,
43.7810945273632,405.970149253731,0.973782475289943,
43.7810945273632,422.885572139303,0.972155174509234,
43.7810945273632,439.800995024876,0.970652744702678,
43.7810945273632,456.716417910448,0.969294581534004,
43.7810945273632,473.63184079602,0.968100080666941,
43.7810945273632,490.547263681592,0.96708863776522,
43.7810945273632,507.462686567164,0.966244244339554,
43.7810945273632,524.378109452736,0.965505714360795,
43.7810945273632,541.293532338308,0.964846857384317,
43.7810945273632,558.208955223881,0.964241948708341,
43.7810945273632,575.124378109453,0.963665263631087,
43.7810945273632,592.039800995025,0.963091077450775,
43.7810945273632,608.955223880597,0.962493665465627,
43.7810945273632,625.870646766169,0.961847302973861,
43.7810945273632,642.786069651741,0.961126265273699,
43.7810945273632,659.701492537313,0.960304533148435,
43.7810945273632,676.616915422886,0.959358211138817,
43.7810945273632,693.532338308458,0.958305602066579,
43.7810945273632,710.44776119403,0.957176975127486,
43.7810945273632,727.363184079602,0.956002599517299,
43.7810945273632,744.278606965174,0.954812744431783,
43.7810945273632,761.194029850746,0.9536376790667,
43.7810945273632,778.109452736318,0.952507672617813,
43.7810945273632,795.02487562189,0.951452994280887,
43.7810945273632,811.940298507463,0.950503913251683,
43.7810945273632,828.855721393035,0.949690166788925,
43.7810945273632,845.771144278607,0.949021254188943,
43.7810945273632,862.686567164179,0.948481556121954,
43.7810945273632,879.601990049751,0.948053943193717,
43.7810945273632,896.517412935323,0.947721286009995,
43.7810945273632,913.432835820895,0.947466455176545,
43.7810945273632,930.348258706468,0.947272321299129,
43.7810945273632,947.26368159204,0.947121754983506,
43.7810945273632,964.179104477612,0.946997626835436,
43.7810945273632,981.094527363184,0.94688280746068,
43.7810945273632,998.009950248756,0.946755585805757,
43.7810945273632,1014.92537313433,0.946598342548498,
43.7810945273632,1031.8407960199,0.946411931667178,
43.7810945273632,1048.75621890547,0.946197740003718,
43.7810945273632,1065.67164179104,0.945957154400039,
43.7810945273632,1082.58706467662,0.945691561698061,
43.7810945273632,1099.50248756219,0.945402348739704,
43.7810945273632,1116.41791044776,0.94509090236689,
43.7810945273632,1133.33333333333,0.944758609421537,
43.7810945273632,1150.24875621891,0.944406859244362,
43.7810945273632,1167.16417910448,0.944038739727668,
43.7810945273632,1184.07960199005,0.943661248659624,
43.7810945273632,1200.99502487562,0.943281848625145,
43.7810945273632,1217.91044776119,0.942908002209143,
43.7810945273632,1234.82587064677,0.942547171996531,
43.7810945273632,1251.74129353234,0.942206820572222,
43.7810945273632,1268.65671641791,0.94189441052113,
43.7810945273632,1285.57213930348,0.941617404428167,
43.7810945273632,1302.48756218905,0.941383264878248,
43.7810945273632,1319.40298507463,0.941199436473661,
43.7810945273632,1336.3184079602,0.941067023757091,
43.7810945273632,1353.23383084577,0.940975008514691,
43.7810945273632,1370.14925373134,0.940911114770626,
43.7810945273632,1387.06467661692,0.940863066549067,
43.7810945273632,1403.98009950249,0.940818587874179,
43.7810945273632,1420.89552238806,0.940765402770131,
43.7810945273632,1437.81094527363,0.940691235261091,
43.7810945273632,1454.7263681592,0.940583809371227,
43.7810945273632,1471.64179104478,0.940430849124705,
43.7810945273632,1488.55721393035,0.940221060806543,
43.7810945273632,1505.47263681592,0.939955605070365,
43.7810945273632,1522.38805970149,0.939644173286118,
43.7810945273632,1539.30348258706,0.939296621519103,
43.7810945273632,1556.21890547264,0.93892280583462,
43.7810945273632,1573.13432835821,0.938532582297968,
43.7810945273632,1590.04975124378,0.938135806974449,
43.7810945273632,1606.96517412935,0.937742335929362,
43.7810945273632,1623.88059701493,0.937362025228008,
43.7810945273632,1640.7960199005,0.937004730935686,
43.7810945273632,1657.71144278607,0.936684217346692,
43.7810945273632,1674.62686567164,0.936404831261847,
43.7810945273632,1691.54228855721,0.936160749088311,
43.7810945273632,1708.45771144279,0.935946136864868,
43.7810945273632,1725.37313432836,0.935755160630303,
43.7810945273632,1742.28855721393,0.935581986423399,
43.7810945273632,1759.2039800995,0.935420780282941,
43.7810945273632,1776.11940298507,0.935265708247712,
43.7810945273632,1793.03482587065,0.935110936356498,
43.7810945273632,1809.95024875622,0.93495041581291,
43.7810945273632,1826.86567164179,0.934776046151247,
43.7810945273632,1843.78109452736,0.934587861701995,
43.7810945273632,1860.69651741294,0.934388464608191,
43.7810945273632,1877.61194029851,0.934180457012874,
43.7810945273632,1894.52736318408,0.933966441059079,
43.7810945273632,1911.44278606965,0.933749018889845,
43.7810945273632,1928.35820895522,0.933530792648209,
43.7810945273632,1945.2736318408,0.933314364477209,
43.7810945273632,1962.18905472637,0.933102336519881,
43.7810945273632,1979.10447761194,0.932896886114146,
43.7810945273632,1996.01990049751,0.932696569182592,
43.7810945273632,2012.93532338308,0.932498968456154,
43.7810945273632,2029.85074626866,0.932301780403678,
43.7810945273632,2046.76616915423,0.932102701494011,
43.7810945273632,2063.6815920398,0.931899428195998,
43.7810945273632,2080.59701492537,0.931689656978486,
43.7810945273632,2097.51243781094,0.931471084310321,
43.7810945273632,2114.42786069652,0.931241406660349,
43.7810945273632,2131.34328358209,0.930998320497417,
43.7810945273632,2148.25870646766,0.930741543053219,
43.7810945273632,2165.17412935323,0.930475552061945,
43.7810945273632,2182.08955223881,0.930203811565485,
43.7810945273632,2199.00497512438,0.929929743730941,
43.7810945273632,2215.92039800995,0.929656770725417,
43.7810945273632,2232.83582089552,0.929388314716014,
43.7810945273632,2249.75124378109,0.929127797869833,
43.7810945273632,2266.66666666667,0.928878642353978,
43.7810945273632,2283.58208955224,0.928644270335551,
43.7810945273632,2300.49751243781,0.92842811585739,
43.7810945273632,2317.41293532338,0.928232596647499,
43.7810945273632,2334.32835820895,0.928054698087533,
43.7810945273632,2351.24378109453,0.927890047519256,
43.7810945273632,2368.1592039801,0.927734272284428,
43.7810945273632,2385.07462686567,0.927582999724812,
43.7810945273632,2401.99004975124,0.927431857182172,
43.7810945273632,2418.90547263682,0.927276471998268,
43.7810945273632,2435.82089552239,0.927112471514863,
43.7810945273632,2452.73631840796,0.926935483073719,
43.7810945273632,2469.65174129353,0.926741098957839,
43.7810945273632,2486.5671641791,0.926527307559695,
