RPM,Ld,Lq,Torque_Mag[Nm],Torque_Rel[Nm],Total_Torque[Nm],Efficiency[%],Voltage(V)
0.0,0.0065101486149925425,0.02751522983930844,369.71348638857495,558.9485429903409,928.6620293789158,0.0,13.5161983127085
0.0,0.006514702511017327,0.02739946185726149,373.746372231242,571.9615498063797,945.7079220376218,0.0,13.7359615520179
0.0,0.006519089212298897,0.027284145760257127,377.74164696090185,584.9841498307017,962.7257967916034,0.0,13.9536544349582
0.0,0.006523582086851167,0.02716869499122072,381.7126096402093,597.9825859764859,979.6951956166952,0.0,14.1682557750421
0.0,0.00652827674056162,0.02705314770861512,385.6686545434232,610.9494889919796,996.6181435354029,0.0,14.3788476114713
0.0,0.006532916589047376,0.026938612530377784,389.6069440659883,623.9295006416761,1013.5364447076644,0.0,14.5856615271697
0.0,0.006537490169108223,0.026825061338139614,393.5289063505955,636.92175247856,1030.4506588291556,0.0,14.7896118847731
0.0,0.006541997748215515,0.026712421832472327,397.436262653008,649.9234286203465,1047.3596912733544,0.0,14.9916206657297
0.0,0.006546439392202422,0.02660062626629512,401.3307403913677,662.9318440324959,1064.2625844238637,0.0,15.1926098514875
0.0,0.00655081499073854,0.02648961118730189,405.2140729345532,675.9444444148986,1081.1585173494518,0.0,15.3935014234948
0.0,0.006555124280646079,0.026379317201620758,409.08799939917816,688.9588059232661,1098.0468053224442,0.0,15.5952173631998
0.0,0.006559366867279457,0.026269688756622247,412.954264454913,701.9726347303279,1114.926899185241,0.0,15.7986796520504
0.0,0.006563542244165555,0.026160673941008107,416.81461813778594,714.9837664316225,1131.7983845694084,0.0,16.0048102714951
0.0,0.006567649328805292,0.02605222596699124,420.67079284400677,727.9902580995499,1148.6610509435568,0.0,16.214536533882
0.0,0.00657159535288568,0.025944627246673967,424.5199551547181,741.008909700509,1165.528864855227,0.0,16.4295988404439
0.0,0.006575350962354028,0.025837974055979356,428.36154183595806,754.0475365492327,1182.4090783851907,0.0,16.6503357274107
0.0,0.006578971585162736,0.02573207357386757,432.1990250203144,767.09767084741,1199.2966958677243,0.0,16.8759775222762
0.0,0.006582510648392444,0.025626736667133398,436.0359880228779,780.1504799075938,1216.1864679304717,0.0,17.1057545525344
0.0,0.006586019724681667,0.02552177781436532,439.87612509217314,793.196759567776,1233.072884659949,0.0,17.3388971456789
0.0,0.006589548675735672,0.02541701506900854,443.7232410415072,806.2269268969753,1249.9501679384825,0.0,17.5746356292036
0.0,0.0065931457933044125,0.025312270059842937,447.58125075578505,819.2310121479666,1266.8122629037516,0.0,17.8122003306023
0.0,0.006596857938008609,0.025207368027236044,451.45417856863503,832.1986499136415,1283.6528284822766,0.0,18.0508215773687
0.0,0.006600730676387168,0.02510213789355371,455.34615750438735,845.1190694440309,1300.4652269484181,0.0,18.2897296969968
0.0,0.00660477950695948,0.024996563357348203,459.25825636695953,857.9893831028306,1317.24763946979,0.0,18.5280856632286
0.0,0.006608724940450932,0.02489213439799356,463.15928346333203,870.8903303624942,1334.0496138258263,0.0,18.7642773680315
0.0,0.0066124908471120085,0.024789213569814214,467.04025858492594,883.843173474027,1350.883432058953,0.0,18.9970469441584
0.0,0.006616083097077198,0.02468772969432234,470.9012053339762,896.8454162569996,1367.7466215909758,0.0,19.2253192827319
0.0,0.00661950739617097,0.024587613989187657,474.7421532868882,909.8944816512665,1384.6366349381547,0.0,19.448019274875
0.0,0.006622769292193083,0.02448879994509952,478.56313805650524,922.9877109406815,1401.5508489971867,0.0,19.6640718117103
0.0,0.006625874180861584,0.02439122320986097,482.36420135419957,936.1223629888676,1418.4865643430671,0.0,19.8724017843609
0.0,0.006628827311435515,0.02429482147923567,486.1453910518125,949.2956134876385,1435.4410045394511,0.0,20.0719340839494
0.0,0.006631633792040564,0.024199534394105333,489.90676124337267,962.5045542179013,1452.411315461274,0.0,20.2615936015988
0.0,0.006634298594717668,0.02410530344353082,493.6483723065589,975.7461923233227,1469.3945646298816,0.0,20.4403052284318
0.0,0.006636866248335245,0.024012067593585415,497.3695796633072,989.0121191996261,1486.3816988629333,0.0,20.6017369657401
0.0,0.006639456130790793,0.023919768879936874,501.06823805170984,1002.2832688137479,1503.3515068654578,0.0,20.7314344548154
0.0,0.006642051711376517,0.023828376050256707,504.74447296487466,1015.5583585478295,1520.3028315127042,0.0,20.8350718054717
0.0,0.006644627004910918,0.023737860464466687,508.39860023133576,1028.8375753605517,1537.2361755918873,0.0,20.91981158482
0.0,0.0066471572094569855,0.023648194500607154,512.0309411709928,1042.121161682358,1554.1521028533507,0.0,20.9928163599717
0.0,0.0066496186493037865,0.023559351504390393,515.6418226400268,1055.4094146984326,1571.0512373384595,0.0,21.0612486980378
