Speed[r/min],Torque[Nm],Flux (q-Axis)[Vs],
0,3112.43781094527,3.15581336241586,
0,3129.35323383085,3.15843674440647,
0,3146.26865671642,3.16128268425385,
0,3163.18407960199,3.16434892748239,
0,3180.09950248756,3.16760538582488,
0,3197.01492537313,3.1710219710141,
0,3213.93034825871,3.17456859478285,
0,3230.84577114428,3.17821516886391,
0,3247.76119402985,3.18193160499008,
0,3264.67661691542,3.18568781489415,
0,3281.59203980099,3.18974635236907,
0,3298.50746268657,3.18974635236907,
21.8905472636816,0,0.00028957915272387,
21.8905472636816,16.9154228855721,0.0969783307740668,
21.8905472636816,33.8308457711443,0.189616846548204,
21.8905472636816,50.7462686567164,0.278227698735241,
21.8905472636816,67.6616915422886,0.362833459595285,
21.8905472636816,84.5771144278607,0.443456701388444,
21.8905472636816,101.492537313433,0.520119996374822,
21.8905472636816,118.407960199005,0.592845916814528,
21.8905472636816,135.323383084577,0.661657034967667,
21.8905472636816,152.238805970149,0.726575923094347,
21.8905472636816,169.154228855721,0.787694850332541,
21.8905472636816,186.069651741294,0.846181619519658,
21.8905472636816,202.985074626866,0.902514814631924,
21.8905472636816,219.900497512438,0.956784772003414,
21.8905472636816,236.81592039801,1.0090818279682,
21.8905472636816,253.731343283582,1.05949631886036,
21.8905472636816,270.646766169154,1.10811858101396,
21.8905472636816,287.562189054726,1.15503895076308,
21.8905472636816,304.477611940298,1.20034776444179,
21.8905472636816,321.393034825871,1.24413535838416,
21.8905472636816,338.308457711443,1.28653591265177,
21.8905472636816,355.223880597015,1.32779255427195,
21.8905472636816,372.139303482587,1.3679413933449,
21.8905472636816,389.054726368159,1.40699561410812,
21.8905472636816,405.970149253731,1.44496840079909,
21.8905472636816,422.885572139303,1.4818729376553,
21.8905472636816,439.800995024876,1.51772240891426,
21.8905472636816,456.716417910448,1.55252999881344,
21.8905472636816,473.63184079602,1.58630889159034,
21.8905472636816,490.547263681592,1.61907227148246,
