Speed[r/min],Torque[Nm],Current (Iq)[A],
21.8905472636816,761.194029850746,71.4761079483348,
21.8905472636816,778.109452736318,72.5892753171747,
21.8905472636816,795.02487562189,73.6734444588431,
21.8905472636816,811.940298507463,74.7242158908343,
21.8905472636816,828.855721393035,75.7389554409167,
21.8905472636816,845.771144278607,76.7284767595155,
21.8905472636816,862.686567164179,77.6963596345029,
21.8905472636816,879.601990049751,78.6442184648602,
21.8905472636816,896.517412935323,79.5738457832752,
21.8905472636816,913.432835820895,80.4872186108131,
21.8905472636816,930.348258706468,81.3865038627236,
21.8905472636816,947.26368159204,82.2740627005198,
21.8905472636816,964.179104477612,83.1524537310457,
21.8905472636816,981.094527363184,84.0244349583656,
21.8905472636816,998.009950248756,84.8922315692647,
21.8905472636816,1014.92537313433,85.756010469933,
21.8905472636816,1031.8407960199,86.6163971920449,
21.8905472636816,1048.75621890547,87.4740729138798,
21.8905472636816,1065.67164179104,88.3297343896455,
21.8905472636816,1082.58706467662,89.1840938338485,
21.8905472636816,1099.50248756219,90.0378787929161,
21.8905472636816,1116.41791044776,90.8918320037585,
21.8905472636816,1133.33333333333,91.7467112389122,
21.8905472636816,1150.24875621891,92.6032819073004,
21.8905472636816,1167.16417910448,93.4606136789633,
21.8905472636816,1184.07960199005,94.3175711731336,
21.8905472636816,1200.99502487562,95.1740445520775,
21.8905472636816,1217.91044776119,96.0298974644265,
21.8905472636816,1234.82587064677,96.8849671059461,
21.8905472636816,1251.74129353234,97.7390642602337,
21.8905472636816,1268.65671641791,98.5919733173937,
21.8905472636816,1285.57213930348,99.4434522687678,
21.8905472636816,1302.48756218905,100.293232675835,
21.8905472636816,1319.40298507463,101.140391588349,
21.8905472636816,1336.3184079602,101.978352882454,
21.8905472636816,1353.23383084577,102.806504093332,
21.8905472636816,1370.14925373134,103.626255574435,
21.8905472636816,1387.06467661692,104.439098409519,
21.8905472636816,1403.98009950249,105.246605649765,
21.8905472636816,1420.89552238806,106.050433301563,
21.8905472636816,1437.81094527363,106.852321050697,
21.8905472636816,1454.7263681592,107.654092709,
21.8905472636816,1471.64179104478,108.457656369825,
21.8905472636816,1488.55721393035,109.264747126561,
21.8905472636816,1505.47263681592,110.075150418469,
21.8905472636816,1522.38805970149,110.887793065847,
21.8905472636816,1539.30348258706,111.701545147612,
21.8905472636816,1556.21890547264,112.515212344927,
21.8905472636816,1573.13432835821,113.327536084297,
21.8905472636816,1590.04975124378,114.137193518952,
21.8905472636816,1606.96517412935,114.942797339758,
21.8905472636816,1623.88059701493,115.742895406943,
21.8905472636816,1640.7960199005,116.535970194111,
21.8905472636816,1657.71144278607,117.319960160316,
21.8905472636816,1674.62686567164,118.094193470354,
21.8905472636816,1691.54228855721,118.85942174165,
21.8905472636816,1708.45771144279,119.616435638368,
21.8905472636816,1725.37313432836,120.366064043122,
21.8905472636816,1742.28855721393,121.109174550222,
21.8905472636816,1759.2039800995,121.846673902672,
21.8905472636816,1776.11940298507,122.579508370122,
21.8905472636816,1793.03482587065,123.308664064991,
21.8905472636816,1809.95024875622,124.035375207108,
21.8905472636816,1826.86567164179,124.764576908927,
21.8905472636816,1843.78109452736,125.497431145206,
21.8905472636816,1860.69651741294,126.233162801447,
21.8905472636816,1877.61194029851,126.970958023088,
21.8905472636816,1894.52736318408,127.709964330271,
21.8905472636816,1911.44278606965,128.449290683001,
21.8905472636816,1928.35820895522,129.188007494078,
21.8905472636816,1945.2736318408,129.925146587216,
21.8905472636816,1962.18905472637,130.659701097721,
21.8905472636816,1979.10447761194,131.391016840088,
21.8905472636816,1996.01990049751,132.12046245286,
21.8905472636816,2012.93532338308,132.848498281244,
21.8905472636816,2029.85074626866,133.575381012084,
21.8905472636816,2046.76616915423,134.301374812381,
21.8905472636816,2063.6815920398,135.026751345284,
21.8905472636816,2080.59701492537,135.751789782848,
21.8905472636816,2097.51243781094,136.476776815466,
21.8905472636816,2114.42786069652,137.202006657922,
21.8905472636816,2131.34328358209,137.927781051974,
21.8905472636816,2148.25870646766,138.652036052821,
21.8905472636816,2165.17412935323,139.371279710068,
21.8905472636816,2182.08955223881,140.086339280854,
21.8905472636816,2199.00497512438,140.798148173847,
21.8905472636816,2215.92039800995,141.507669469851,
21.8905472636816,2232.83582089552,142.215896097598,
21.8905472636816,2249.75124378109,142.923850975113,
21.8905472636816,2266.66666666667,143.632587115368,
21.8905472636816,2283.58208955224,144.343187694906,
21.8905472636816,2300.49751243781,145.056693639785,
21.8905472636816,2317.41293532338,145.769855718279,
21.8905472636816,2334.32835820895,146.480860555406,
