Speed[r/min],Torque[Nm],Efficiency[%],
21.8905472636816,169.154228855721,74.5557676004076,
21.8905472636816,186.069651741294,73.7160345902725,
21.8905472636816,202.985074626866,72.9568591711596,
21.8905472636816,219.900497512438,72.2636794819851,
21.8905472636816,236.81592039801,71.6260440503251,
21.8905472636816,253.731343283582,71.0362148633343,
21.8905472636816,270.646766169154,70.4883079227945,
21.8905472636816,287.562189054726,69.9777442554211,
21.8905472636816,304.477611940298,69.500887738014,
21.8905472636816,321.393034825871,69.0547993669511,
21.8905472636816,338.308457711443,68.6365564165725,
21.8905472636816,355.223880597015,68.2411536687498,
21.8905472636816,372.139303482587,67.8649774477631,
21.8905472636816,389.054726368159,67.5052286639101,
21.8905472636816,405.970149253731,67.1596043773219,
21.8905472636816,422.885572139303,66.8261936234735,
21.8905472636816,439.800995024876,66.5033984206319,
21.8905472636816,456.716417910448,66.1898731320029,
21.8905472636816,473.63184079602,65.8844773918807,
21.8905472636816,490.547263681592,65.5862391827889,
21.8905472636816,507.462686567164,65.29341249456,
21.8905472636816,524.378109452736,65.0042697472502,
21.8905472636816,541.293532338308,64.7187433572934,
21.8905472636816,558.208955223881,64.4367813500709,
21.8905472636816,575.124378109453,64.1583317285361,
21.8905472636816,592.039800995025,63.8833426514526,
21.8905472636816,608.955223880597,63.611762576036,
21.8905472636816,625.870646766169,63.3435403719637,
21.8905472636816,642.786069651741,63.0786254122367,
21.8905472636816,659.701492537313,62.8169573173061,
21.8905472636816,676.616915422886,62.5580692474262,
21.8905472636816,693.532338308458,62.3016306421229,
21.8905472636816,710.44776119403,62.0475151883768,
21.8905472636816,727.363184079602,61.795608710202,
21.8905472636816,744.278606965174,61.5458077545328,
21.8905472636816,761.194029850746,61.298018369088,
21.8905472636816,778.109452736318,61.0521550425052,
21.8905472636816,795.02487562189,60.8081397821793,
21.8905472636816,811.940298507463,60.5659013093981,
21.8905472636816,828.855721393035,60.3254043712309,
21.8905472636816,845.771144278607,60.0868031350782,
21.8905472636816,862.686567164179,59.8501245294874,
21.8905472636816,879.601990049751,59.6153614061996,
21.8905472636816,896.517412935323,59.3825052909734,
21.8905472636816,913.432835820895,59.1515465475448,
21.8905472636816,930.348258706468,58.9224745226884,
21.8905472636816,947.26368159204,58.6952776747612,
21.8905472636816,964.179104477612,58.4699436877789,
21.8905472636816,981.094527363184,58.2464595727913,
21.8905472636816,998.009950248756,58.0248399996381,
21.8905472636816,1014.92537313433,57.8051014577082,
21.8905472636816,1031.8407960199,57.5871741936995,
21.8905472636816,1048.75621890547,57.37099057911,
21.8905472636816,1065.67164179104,57.1564875691252,
21.8905472636816,1082.58706467662,56.9436063273582,
21.8905472636816,1099.50248756219,56.7322918864368,
21.8905472636816,1116.41791044776,56.5224928405151,
21.8905472636816,1133.33333333333,56.3141610662645,
21.8905472636816,1150.24875621891,56.1072509338894,
21.8905472636816,1167.16417910448,55.9016038197586,
21.8905472636816,1184.07960199005,55.6970865432359,
21.8905472636816,1200.99502487562,55.4936550083474,
21.8905472636816,1217.91044776119,55.2912682136194,
21.8905472636816,1234.82587064677,55.0898880220497,
21.8905472636816,1251.74129353234,54.8894789504908,
21.8905472636816,1268.65671641791,54.6900079765652,
21.8905472636816,1285.57213930348,54.4914443614382,
21.8905472636816,1302.48756218905,54.2937594869543,
21.8905472636816,1319.40298507463,54.0969162983651,
21.8905472636816,1336.3184079602,53.9007866743319,
21.8905472636816,1353.23383084577,53.7053424014595,
21.8905472636816,1370.14925373134,53.5105873338001,
21.8905472636816,1387.06467661692,53.316525004899,
21.8905472636816,1403.98009950249,53.1231586460503,
21.8905472636816,1420.89552238806,52.9304912033,
21.8905472636816,1437.81094527363,52.7385253533,
21.8905472636816,1454.7263681592,52.5472635181033,
21.8905472636816,1471.64179104478,52.3567078789848,
21.8905472636816,1488.55721393035,52.1668888168981,
21.8905472636816,1505.47263681592,51.9779180636253,
21.8905472636816,1522.38805970149,51.7898389148125,
21.8905472636816,1539.30348258706,51.6026852389432,
21.8905472636816,1556.21890547264,51.416488158143,
21.8905472636816,1573.13432835821,51.2312762200875,
21.8905472636816,1590.04975124378,51.0470755589595,
21.8905472636816,1606.96517412935,50.8639100462015,
21.8905472636816,1623.88059701493,50.6818014317544,
21.8905472636816,1640.7960199005,50.5007694764235,
21.8905472636816,1657.71144278607,50.3208684073237,
21.8905472636816,1674.62686567164,50.1421194841339,
21.8905472636816,1691.54228855721,49.9644821319258,
21.8905472636816,1708.45771144279,49.7879178469991,
21.8905472636816,1725.37313432836,49.6123901511901,
21.8905472636816,1742.28855721393,49.4378644791775,
21.8905472636816,1759.2039800995,49.2643080729249,
21.8905472636816,1776.11940298507,49.0916898827369,
21.8905472636816,1793.03482587065,48.9199804744506,
21.8905472636816,1809.95024875622,48.7491513201064,
21.8905472636816,1826.86567164179,48.5791696739882,
21.8905472636816,1843.78109452736,48.4100277128406,
21.8905472636816,1860.69651741294,48.241724946854,
21.8905472636816,1877.61194029851,48.0742606253617,
21.8905472636816,1894.52736318408,47.9076337525253,
21.8905472636816,1911.44278606965,47.7418431021302,
21.8905472636816,1928.35820895522,47.5768872315467,
21.8905472636816,1945.2736318408,47.4127644949062,
21.8905472636816,1962.18905472637,47.2494730555413,
21.8905472636816,1979.10447761194,47.0870104973098,
21.8905472636816,1996.01990049751,46.9253688554179,
21.8905472636816,2012.93532338308,46.7645366436013,
21.8905472636816,2029.85074626866,46.6045027246796,
21.8905472636816,2046.76616915423,46.4452563568003,
21.8905472636816,2063.6815920398,46.2867871752558,
21.8905472636816,2080.59701492537,46.1290851752492,
21.8905472636816,2097.51243781094,45.9721406955537,
21.8905472636816,2114.42786069652,45.8159444030117,
21.8905472636816,2131.34328358209,45.6604872778251,
21.8905472636816,2148.25870646766,45.50575983209,
21.8905472636816,2165.17412935323,45.3517484670825,
21.8905472636816,2182.08955223881,45.1984385710383,
21.8905472636816,2199.00497512438,45.0458161679722,
21.8905472636816,2215.92039800995,44.8938678904996,
21.8905472636816,2232.83582089552,44.7425809521025,
21.8905472636816,2249.75124378109,44.5919431207746,
21.8905472636816,2266.66666666667,44.4419426939667,
21.8905472636816,2283.58208955224,44.2925684747613,
21.8905472636816,2300.49751243781,44.1438096627117,
21.8905472636816,2317.41293532338,43.9956512008771,
21.8905472636816,2334.32835820895,43.8480814576846,
21.8905472636816,2351.24378109453,43.7010923070443,
21.8905472636816,2368.1592039801,43.5546759613171,
21.8905472636816,2385.07462686567,43.4088249563416,
21.8905472636816,2401.99004975124,43.2635321371591,
21.8905472636816,2418.90547263682,43.1187906443987,
21.8905472636816,2435.82089552239,42.9745939012901,
21.8905472636816,2452.73631840796,42.8309356012698,
21.8905472636816,2469.65174129353,42.6878103057066,
21.8905472636816,2486.5671641791,42.5452164795929,
21.8905472636816,2503.48258706468,42.4031484641837,
21.8905472636816,2520.39800995025,42.2615998462649,
21.8905472636816,2537.31343283582,42.1205644820893,
21.8905472636816,2554.22885572139,41.9800364857787,
21.8905472636816,2571.14427860697,41.840010218237,
21.8905472636816,2588.05970149254,41.7004802765494,
21.8905472636816,2604.97512437811,41.5614414838424,
21.8905472636816,2621.89054726368,41.4228888795846,
21.8905472636816,2638.80597014925,41.2848173611983,
21.8905472636816,2655.72139303483,41.1472187030776,
21.8905472636816,2672.6368159204,41.0100832130765,
21.8905472636816,2689.55223880597,40.87340163869,
21.8905472636816,2706.46766169154,40.7371651690584,
21.8905472636816,2723.38308457711,40.6013654168648,
21.8905472636816,2740.29850746269,40.4659944009927,
21.8905472636816,2757.21393034826,40.3310445299037,
21.8905472636816,2774.12935323383,40.1965085857041,
21.8905472636816,2791.0447761194,40.062379700996,
21.8905472636816,2807.96019900498,39.9286444442837,
21.8905472636816,2824.87562189055,39.7952920989085,
21.8905472636816,2841.79104477612,39.662318937715,
21.8905472636816,2858.70646766169,39.5297214378774,
21.8905472636816,2875.62189054726,39.3974962721125,
21.8905472636816,2892.53731343284,39.2656403002434,
21.8905472636816,2909.45273631841,39.1341505610967,
21.8905472636816,2926.36815920398,39.0030242647201,
21.8905472636816,2943.28358208955,38.8722587849064,
21.8905472636816,2960.19900497512,38.7418514330581,
21.8905472636816,2977.1144278607,38.6117966183334,
21.8905472636816,2994.02985074627,38.4820901277784,
21.8905472636816,3010.94527363184,38.3527287552053,
21.8905472636816,3027.86069651741,38.2237094862862,
21.8905472636816,3044.77611940298,38.0950294904265,
21.8905472636816,3061.69154228856,37.9666861129471,
21.8905472636816,3078.60696517413,37.8386768675611,
21.8905472636816,3095.5223880597,37.7109994291357,
21.8905472636816,3112.43781094527,37.5836516267248,
21.8905472636816,3129.35323383085,37.4579540193549,
21.8905472636816,3146.26865671642,37.3381243123191,
21.8905472636816,3163.18407960199,37.2230493548444,
21.8905472636816,3180.09950248756,37.1111787813702,
21.8905472636816,3197.01492537313,37.0010312674306,
21.8905472636816,3213.93034825871,36.8911905491723,
21.8905472636816,3230.84577114428,36.7803027056466,
21.8905472636816,3247.76119402985,36.6670745516403,
21.8905472636816,3264.67661691542,36.3451734724539,
21.8905472636816,3281.59203980099,36.3451734724539,
43.7810945273632,0,0,
43.7810945273632,16.9154228855721,82.9707359306183,
43.7810945273632,33.8308457711443,86.4708670948296,
