Speed[r/min],Torque[Nm],Load Angle[deg],
21.8905472636816,2351.24378109453,51.7971739159868,
21.8905472636816,2368.1592039801,51.8776605548827,
21.8905472636816,2385.07462686567,51.9574341623805,
21.8905472636816,2401.99004975124,52.0362973664001,
21.8905472636816,2418.90547263682,52.1140527948615,
21.8905472636816,2435.82089552239,52.1905030756844,
21.8905472636816,2452.73631840796,52.2654508367886,
21.8905472636816,2469.65174129353,52.338710742286,
21.8905472636816,2486.5671641791,52.4103330428817,
21.8905472636816,2503.48258706468,52.4805651338187,
21.8905472636816,2520.39800995025,52.5496584930439,
21.8905472636816,2537.31343283582,52.6178645985042,
21.8905472636816,2554.22885572139,52.6854349281463,
21.8905472636816,2571.14427860697,52.7526209599173,
21.8905472636816,2588.05970149254,52.819674171764,
21.8905472636816,2604.97512437811,52.8868460416332,
21.8905472636816,2621.89054726368,52.9543880474718,
21.8905472636816,2638.80597014925,53.0226081151516,
21.8905472636816,2655.72139303483,53.0916928164359,
21.8905472636816,2672.6368159204,53.1614907295374,
21.8905472636816,2689.55223880597,53.2318385435587,
21.8905472636816,2706.46766169154,53.3025729476028,
21.8905472636816,2723.38308457711,53.3735306307726,
21.8905472636816,2740.29850746269,53.4445482821708,
21.8905472636816,2757.21393034826,53.5154625909003,
21.8905472636816,2774.12935323383,53.586110246064,
21.8905472636816,2791.0447761194,53.6563247714307,
21.8905472636816,2807.96019900498,53.7231772980349,
21.8905472636816,2824.87562189055,53.7847729179167,
21.8905472636816,2841.79104477612,53.8419528876673,
21.8905472636816,2858.70646766169,53.8955584638779,
21.8905472636816,2875.62189054726,53.94643090314,
21.8905472636816,2892.53731343284,53.9954114620448,
21.8905472636816,2909.45273631841,54.0433413971836,
21.8905472636816,2926.36815920398,54.0910619651477,
21.8905472636816,2943.28358208955,54.1394144225284,
21.8905472636816,2960.19900497512,54.1892058912658,
21.8905472636816,2977.1144278607,54.2406067378596,
21.8905472636816,2994.02985074627,54.2936310630903,
21.8905472636816,3010.94527363184,54.3483782235025,
21.8905472636816,3027.86069651741,54.4049475756406,
21.8905472636816,3044.77611940298,54.4634384760492,
21.8905472636816,3061.69154228856,54.5239502812729,
21.8905472636816,3078.60696517413,54.5865823478561,
21.8905472636816,3095.5223880597,54.6514340323435,
21.8905472636816,3112.43781094527,54.7186046912794,
21.8905472636816,3129.35323383085,54.7861833197327,
21.8905472636816,3146.26865671642,54.8470330968908,
21.8905472636816,3163.18407960199,54.9011888902212,
21.8905472636816,3180.09950248756,54.9494183584713,
21.8905472636816,3197.01492537313,54.992489160389,
21.8905472636816,3213.93034825871,55.0311689547218,
21.8905472636816,3230.84577114428,55.0662254002173,
21.8905472636816,3247.76119402985,55.0984261556232,
21.8905472636816,3264.67661691542,55.176511918088,
21.8905472636816,3281.59203980099,55.176511918088,
43.7810945273632,0,0,
43.7810945273632,16.9154228855721,7.54994942620795,
43.7810945273632,33.8308457711443,14.4579565953016,
43.7810945273632,50.7462686567164,20.6741542843002,
43.7810945273632,67.6616915422886,26.1486752702229,
43.7810945273632,84.5771144278607,30.831652330089,
43.7810945273632,101.492537313433,34.6732182409178,
43.7810945273632,118.407960199005,37.6235057797284,
43.7810945273632,135.323383084577,39.63264772354,
43.7810945273632,152.238805970149,40.650776849372,
43.7810945273632,169.154228855721,40.6765269959308,
43.7810945273632,186.069651741294,40.4574197535612,
43.7810945273632,202.985074626866,40.2623591164432,
43.7810945273632,219.900497512438,40.0902026311472,
43.7810945273632,236.81592039801,39.9398078442435,
43.7810945273632,253.731343283582,39.8100323023023,
43.7810945273632,270.646766169154,39.6997335518941,
43.7810945273632,287.562189054726,39.6077691395892,
43.7810945273632,304.477611940298,39.5329966119579,
43.7810945273632,321.393034825871,39.4742735155706,
43.7810945273632,338.308457711443,39.429144905272,
43.7810945273632,355.223880597015,39.3923633354359,
43.7810945273632,372.139303482587,39.3654886523804,
43.7810945273632,389.054726368159,39.3507977600746,
43.7810945273632,405.970149253731,39.3505675624876,
43.7810945273632,422.885572139303,39.3670749635887,
43.7810945273632,439.800995024876,39.402596867347,
43.7810945273632,456.716417910448,39.4594101777315,
43.7810945273632,473.63184079602,39.5397917987115,
43.7810945273632,490.547263681592,39.646018634256,
43.7810945273632,507.462686567164,39.7677750738637,
43.7810945273632,524.378109452736,39.8855357507967,
43.7810945273632,541.293532338308,39.9968808690014,
43.7810945273632,558.208955223881,40.099580276548,
43.7810945273632,575.124378109453,40.1914038215065,
43.7810945273632,592.039800995025,40.2701213519471,
43.7810945273632,608.955223880597,40.3335027159397,
43.7810945273632,625.870646766169,40.3793177615546,
43.7810945273632,642.786069651741,40.4053363368617,
43.7810945273632,659.701492537313,40.4096663026069,
43.7810945273632,676.616915422886,40.4044649126132,
43.7810945273632,693.532338308458,40.3996676366043,
43.7810945273632,710.44776119403,40.3992931162832,
43.7810945273632,727.363184079602,40.4073599933531,
43.7810945273632,744.278606965174,40.4278869095171,
43.7810945273632,761.194029850746,40.4648925064783,
43.7810945273632,778.109452736318,40.5223954259398,
43.7810945273632,795.02487562189,40.6044143096048,
43.7810945273632,811.940298507463,40.7149677991763,
43.7810945273632,828.855721393035,40.855754095926,
43.7810945273632,845.771144278607,41.0134748033229,
43.7810945273632,862.686567164179,41.1835509517432,
43.7810945273632,879.601990049751,41.3638378886132,
43.7810945273632,896.517412935323,41.5521909613591,
43.7810945273632,913.432835820895,41.7464655174072,
43.7810945273632,930.348258706468,41.9445169041835,
43.7810945273632,947.26368159204,42.1442004691145,
43.7810945273632,964.179104477612,42.3433715596263,
43.7810945273632,981.094527363184,42.5398855231451,
43.7810945273632,998.009950248756,42.7320997242462,
43.7810945273632,1014.92537313433,42.919950402694,
43.7810945273632,1031.8407960199,43.1031438300855,
43.7810945273632,1048.75621890547,43.2813599296551,
43.7810945273632,1065.67164179104,43.4542786246371,
43.7810945273632,1082.58706467662,43.6215798382658,
43.7810945273632,1099.50248756219,43.7829434937754,
43.7810945273632,1116.41791044776,43.9380495144002,
43.7810945273632,1133.33333333333,44.0865778233744,
43.7810945273632,1150.24875621891,44.2282139777116,
43.7810945273632,1167.16417910448,44.3640614748741,
43.7810945273632,1184.07960199005,44.495678939516,
43.7810945273632,1200.99502487562,44.6238711981716,
43.7810945273632,1217.91044776119,44.7494430773751,
43.7810945273632,1234.82587064677,44.8731994036607,
43.7810945273632,1251.74129353234,44.9959450035628,
43.7810945273632,1268.65671641791,45.1184847036156,
43.7810945273632,1285.57213930348,45.2416233303532,
43.7810945273632,1302.48756218905,45.36616571031,
43.7810945273632,1319.40298507463,45.4932640291748,
43.7810945273632,1336.3184079602,45.6266453999749,
43.7810945273632,1353.23383084577,45.7656822405236,
43.7810945273632,1370.14925373134,45.9085558932903,
43.7810945273632,1387.06467661692,46.0534477007443,
43.7810945273632,1403.98009950249,46.198539005355,
43.7810945273632,1420.89552238806,46.3420111495918,
43.7810945273632,1437.81094527363,46.4820454759241,
43.7810945273632,1454.7263681592,46.6168233268213,
43.7810945273632,1471.64179104478,46.7445260447528,
43.7810945273632,1488.55721393035,46.8638329719934,
43.7810945273632,1505.47263681592,46.9759614881955,
43.7810945273632,1522.38805970149,47.0822098612414,
43.7810945273632,1539.30348258706,47.1838069616741,
43.7810945273632,1556.21890547264,47.2819816600362,
43.7810945273632,1573.13432835821,47.3779628268706,
43.7810945273632,1590.04975124378,47.4729793327202,
43.7810945273632,1606.96517412935,47.5682600481277,
43.7810945273632,1623.88059701493,47.665033843636,
43.7810945273632,1640.7960199005,47.7645295897879,
43.7810945273632,1657.71144278607,47.8681431339279,
43.7810945273632,1674.62686567164,47.9760493527727,
43.7810945273632,1691.54228855721,48.0875303963764,
43.7810945273632,1708.45771144279,48.2018676494428,
